city,links
北京,http://bj.58.com/
上海,http://sh.58.com/
广州,http://gz.58.com/
深圳,http://sz.58.com/
成都,http://cd.58.com/
杭州,http://hz.58.com/
南京,http://nj.58.com/
天津,http://tj.58.com/
武汉,http://wh.58.com/
重庆,http://cq.58.com/
青岛,http://qd.58.com/
济南,http://jn.58.com/
烟台,http://yt.58.com/
潍坊,http://wf.58.com/
临沂,http://linyi.58.com/
淄博,http://zb.58.com/
济宁,http://jining.58.com/
泰安,http://ta.58.com/
聊城,http://lc.58.com/
威海,http://weihai.58.com/
枣庄,http://zaozhuang.58.com/
德州,http://dz.58.com/
日照,http://rizhao.58.com/
东营,http://dy.58.com/
菏泽,http://heze.58.com/
滨州,http://bz.58.com/
莱芜,http://lw.58.com/
章丘,http://zhangqiu.58.com/
垦利,http://kl.58.com/
诸城,http://zc.58.com/
寿光,http://shouguang.58.com/
苏州,http://su.58.com/
南京,http://nj.58.com/
无锡,http://wx.58.com/
常州,http://cz.58.com/
徐州,http://xz.58.com/
南通,http://nt.58.com/
扬州,http://yz.58.com/
盐城,http://yancheng.58.com/
淮安,http://ha.58.com/
连云港,http://lyg.58.com/
泰州,http://taizhou.58.com/
宿迁,http://suqian.58.com/
镇江,http://zj.58.com/
沭阳,http://shuyang.58.com/
大丰,http://dafeng.58.com/
如皋,http://rugao.58.com/
启东,http://qidong.58.com/
溧阳,http://liyang.58.com/
海门,http://haimen.58.com/
东海,http://donghai.58.com/
扬中,http://yangzhong.58.com/
兴化,http://xinghuashi.58.com/
新沂,http://xinyishi.58.com/
泰兴,http://taixing.58.com/
如东,http://rudong.58.com/
邳州,http://pizhou.58.com/
沛县,http://xzpeixian.58.com/
靖江,http://jingjiang.58.com/
建湖,http://jianhu.58.com/
海安,http://haian.58.com/
东台,http://dongtai.58.com/
丹阳,http://danyang.58.com/
杭州,http://hz.58.com/
宁波,http://nb.58.com/
温州,http://wz.58.com/
金华,http://jh.58.com/
嘉兴,http://jx.58.com/
台州,http://tz.58.com/
绍兴,http://sx.58.com/
湖州,http://huzhou.58.com/
丽水,http://lishui.58.com/
衢州,http://quzhou.58.com/
舟山,http://zhoushan.58.com/
乐清,http://yueqingcity.58.com/
瑞安,http://ruiancity.58.com/
义乌,http://yiwu.58.com/
余姚,http://yuyao.58.com/
诸暨,http://zhuji.58.com/
象山,http://xiangshanxian.58.com/
温岭,http://wenling.58.com/
桐乡,http://tongxiang.58.com/
慈溪,http://cixi.58.com/
长兴,http://changxing.58.com/
嘉善,http://jiashanx.58.com/
海宁,http://haining.58.com/
德清,http://deqing.58.com/
合肥,http://hf.58.com/
芜湖,http://wuhu.58.com/
蚌埠,http://bengbu.58.com/
阜阳,http://fy.58.com/
淮南,http://hn.58.com/
安庆,http://anqing.58.com/
宿州,http://suzhou.58.com/
六安,http://la.58.com/
淮北,http://huaibei.58.com/
滁州,http://chuzhou.58.com/
马鞍山,http://mas.58.com/
铜陵,http://tongling.58.com/
宣城,http://xuancheng.58.com/
亳州,http://bozhou.58.com/
黄山,http://huangshan.58.com/
池州,http://chizhou.58.com/
巢湖,http://ch.58.com/
和县,http://hexian.58.com/
霍邱,http://hq.58.com/
桐城,http://tongcheng.58.com/
宁国,http://ningguo.58.com/
天长,http://tianchang.58.com/
深圳,http://sz.58.com/
广州,http://gz.58.com/
东莞,http://dg.58.com/
佛山,http://fs.58.com/
中山,http://zs.58.com/
珠海,http://zh.58.com/
惠州,http://huizhou.58.com/
江门,http://jm.58.com/
汕头,http://st.58.com/
湛江,http://zhanjiang.58.com/
肇庆,http://zq.58.com/
茂名,http://mm.58.com/
揭阳,http://jy.58.com/
梅州,http://mz.58.com/
清远,http://qingyuan.58.com/
阳江,http://yj.58.com/
韶关,http://sg.58.com/
河源,http://heyuan.58.com/
云浮,http://yf.58.com/
汕尾,http://sw.58.com/
潮州,http://chaozhou.58.com/
台山,http://taishan.58.com/
阳春,http://yangchun.58.com/
顺德,http://sd.58.com/
惠东,http://huidong.58.com/
博罗,http://boluo.58.com/
福州,http://fz.58.com/
厦门,http://xm.58.com/
泉州,http://qz.58.com/
莆田,http://pt.58.com/
漳州,http://zhangzhou.58.com/
